346 29850
0 1 5399
0 2 9933
0 3 925
0 4 8880
0 6 6977
0 8 9776
0 10 5286
0 11 3033
0 12 7256
0 13 4771
0 14 443
0 15 5834
0 16 2568
0 18 5940
0 19 5664
0 20 4887
0 22 4288
0 23 8019
0 25 5987
0 28 5239
0 31 3839
0 33 8155
0 37 8562
0 38 3141
0 45 1469
0 47 9077
0 48 3006
0 50 2726
0 54 6134
0 55 7862
0 56 177
0 57 105
0 58 7699
0 60 9853
0 61 7531
0 62 5294
0 64 1201
0 65 1998
0 66 1906
0 74 7237
0 75 9869
0 76 1819
0 78 5651
0 80 8883
0 81 1485
0 82 29
0 83 7545
0 84 1122
0 85 7351
0 86 1055
0 87 6203
0 88 1767
0 89 6871
0 90 1540
0 91 7097
0 92 9714
0 93 4635
0 95 3806
0 97 773
0 99 6871
0 100 9684
0 102 893
0 103 980
0 107 9790
0 110 9658
0 111 9564
0 112 1349
0 114 4914
0 117 3419
0 121 3789
0 122 3234
0 127 2295
0 128 2184
0 129 8765
0 131 1718
0 136 4428
0 138 6613
0 142 7771
0 145 9105
0 147 3385
0 148 3817
0 150 8010
0 151 4776
0 152 4698
0 154 8454
0 155 1953
0 156 9819
0 159 1070
0 161 1454
0 162 3409
0 163 7678
0 169 2509
0 172 8956
0 175 3345
0 176 8610
0 177 3000
0 179 3037
0 184 3884
0 186 8990
0 187 7785
0 189 508
0 191 136
0 192 652
0 194 6534
0 197 3202
0 199 1233
0 200 5266
0 203 9580
0 205 1603
0 207 4606
0 208 203
0 210 7948
0 212 3333
0 213 6263
0 214 142
0 217 5396
0 219 4869
0 220 8382
0 222 2522
0 226 4032
0 228 7525
0 229 5152
0 232 4919
0 233 7838
0 235 9072
0 238 467
0 240 7091
0 244 9870
0 247 7040
0 248 7426
0 250 7539
0 251 3053
0 252 6236
0 253 9828
0 254 4145
0 256 8833
0 257 6235
0 258 9759
0 263 5048
0 265 7141
0 266 2162
0 267 7842
0 268 7509
0 270 5191
0 271 8756
0 273 3881
0 275 4792
0 277 6139
0 280 2470
0 281 9990
0 282 2239
0 283 378
0 284 2178
0 285 9524
0 286 9865
0 288 7376
0 290 3223
0 293 7019
0 297 1258
0 298 4635
0 299 8640
0 300 6106
0 303 8265
0 304 4675
0 305 9534
0 306 4553
0 307 7978
0 308 9229
0 310 7074
0 312 5570
0 314 6411
0 315 4042
0 316 8573
0 319 732
0 320 7281
0 323 8395
0 325 2559
0 326 345
0 328 1577
0 332 4804
0 333 9713
0 336 3563
0 337 2399
0 338 4914
0 340 9829
0 342 1768
0 343 3023
0 344 4423
0 345 6243
1 4 4912
1 5 1234
1 6 4036
1 7 6249
1 9 1074
1 13 724
1 14 3369
1 16 6024
1 17 6784
1 18 9282
1 19 8527
1 22 6841
1 23 3791
1 25 4892
1 26 3762
1 33 1775
1 34 5101
1 36 7834
1 41 2783
1 43 4502
1 44 9949
1 47 6193
1 50 5315
1 51 7149
1 54 7867
1 56 3811
1 57 2864
1 58 171
1 60 6125
1 63 4545
1 64 6383
1 70 9487
1 71 623
1 74 3744
1 76 1153
1 77 1197
1 78 7918
1 79 2609
1 80 9574
1 84 174
1 87 3644
1 92 2915
1 93 4037
1 94 9165
1 95 527
1 96 2801
1 101 176
1 104 6559
1 105 5801
1 106 8689
1 109 3447
1 111 513
1 112 4894
1 113 8368
1 116 2787
1 117 9771
1 119 1434
1 123 3637
1 124 3918
1 127 7080
1 128 9040
1 129 7630
1 130 692
1 132 7984
1 133 1966
1 134 2093
1 137 9161
1 141 3870
1 143 298
1 146 3138
1 148 2487
1 151 61
1 152 7466
1 154 9032
1 155 1400
1 157 7624
1 159 6836
1 165 9683
1 166 5096
1 170 2244
1 171 3085
1 172 8918
1 174 7499
1 177 9559
1 178 7959
1 179 8918
1 180 4412
1 181 4353
1 189 6912
1 193 1761
1 197 7241
1 198 2541
1 200 9684
1 202 5744
1 207 6344
1 208 7383
1 209 1901
1 211 9171
1 212 9235
1 213 7811
1 214 7015
1 215 8276
1 217 203
1 223 3516
1 225 6972
1 228 9836
1 231 5751
1 235 7442
1 236 1299
1 237 8054
1 242 3607
1 244 7108
1 246 8778
1 249 3281
1 251 9393
1 253 3201
1 256 3467
1 257 6235
1 258 4959
1 261 990
1 262 8202
1 264 2706
1 265 9217
1 270 6792
1 271 9817
1 272 625
1 274 215
1 284 27
1 285 6309
1 286 259
1 289 5885
1 291 4359
1 293 3978
1 295 8891
1 296 6608
1 297 2157
1 298 5109
1 299 5997
1 302 2520
1 303 6432
1 304 4345
1 306 8095
1 307 6657
1 308 5435
1 309 1776
1 310 1448
1 311 1731
1 312 3849
1 313 2949
1 315 1477
1 316 9903
1 318 5104
1 319 7691
1 321 8488
1 325 8895
1 326 3322
1 327 4044
1 328 4066
1 331 1270
1 334 6295
1 335 9818
1 337 691
1 338 3954
1 340 9974
1 341 1477
1 342 7473
1 344 8391
2 3 8757
2 8 1971
2 9 3018
2 10 9928
2 11 6852
2 12 3719
2 14 1894
2 15 8592
2 16 5373
2 18 7490
2 20 9819
2 22 7525
2 23 9003
2 24 4272
2 25 286
2 28 4512
2 31 6968
2 32 3899
2 35 4981
2 39 9664
2 42 7164
2 44 2515
2 45 858
2 46 2820
2 47 5368
2 49 541
2 50 603
2 52 1513
2 55 2836
2 56 963
2 57 1260
2 58 5515
2 60 8200
2 62 9647
2 67 7083
2 68 106
2 69 6209
2 71 7215
2 72 5390
2 73 7223
2 74 2139
2 75 1427
2 77 4021
2 78 3848
2 80 9192
2 83 2174
2 84 3145
2 86 8273
2 92 9106
2 93 4512
2 96 8069
2 97 2178
2 104 2166
2 106 4797
2 108 7099
2 109 1075
2 110 1969
2 111 2330
2 115 4436
2 117 4266
2 121 1971
2 122 5948
2 124 8981
2 128 660
2 130 4391
2 133 7859
2 134 488
2 136 8292
2 137 7556
2 140 1289
2 141 8693
2 142 1462
2 144 8909
2 145 4222
2 147 6734
2 148 6749
2 150 4975
2 151 8887
2 153 8612
2 155 7357
2 156 1863
2 158 9457
2 159 632
2 160 862
2 161 4627
2 162 2184
2 164 4932
2 165 7288
2 166 6853
2 170 4385
2 171 5064
2 172 3638
2 176 7303
2 179 8492
2 182 9222
2 184 2951
2 186 8856
2 188 8946
2 191 1075
2 193 8459
2 194 6368
2 195 9530
2 196 2363
2 197 7654
2 200 9524
2 202 6347
2 203 7409
2 204 3362
2 205 5212
2 206 3026
2 207 3705
2 210 5406
2 211 6100
2 212 6908
2 215 6670
2 216 6878
2 217 5134
2 219 4461
2 222 8488
2 223 4145
2 224 9951
2 225 1266
2 226 4744
2 227 1864
2 228 6053
2 234 8887
2 235 2520
2 236 2054
2 238 9681
2 240 1250
2 242 3171
2 244 2705
2 245 5329
2 247 6237
2 250 9809
2 254 851
2 256 2827
2 258 2309
2 259 3709
2 260 5022
2 264 5872
2 265 4561
2 266 1279
2 268 2364
2 272 5622
2 276 6665
2 277 5215
2 280 721
2 281 6812
2 282 5857
2 284 5189
2 285 2116
2 289 8148
2 291 9996
2 293 7553
2 294 9749
2 295 5931
2 296 7107
2 300 6214
2 301 1769
2 302 5982
2 303 9508
2 304 549
2 305 6761
2 307 3929
2 308 4594
2 309 1868
2 311 9467
2 314 8035
2 321 7484
2 323 1304
2 324 637
2 325 8149
2 329 5834
2 334 6408
2 335 481
2 336 3108
2 339 9046
2 345 2163
3 4 4057
3 6 7363
3 7 5945
3 9 3744
3 10 3572
3 11 6453
3 12 8383
3 13 9592
3 14 1137
3 15 8440
3 16 2872
3 17 8403
3 18 1301
3 19 7481
3 20 9218
3 25 2743
3 26 7092
3 27 9557
3 29 1811
3 32 219
3 33 5049
3 36 1086
3 37 8644
3 38 4827
3 40 6440
3 42 7618
3 43 9494
3 45 7627
3 46 776
3 48 8352
3 50 6955
3 51 880
3 53 7171
3 58 3840
3 62 8510
3 63 4338
3 64 2163
3 66 2907
3 67 1067
3 69 8201
3 73 1477
3 78 4572
3 86 1579
3 88 6210
3 90 2547
3 92 6147
3 95 8123
3 96 6222
3 97 4909
3 98 4346
3 103 919
3 110 9100
3 111 2886
3 112 9726
3 114 1288
3 115 7978
3 117 7142
3 118 2281
3 120 1697
3 124 2873
3 129 5614
3 131 6082
3 133 8695
3 135 2300
3 138 7626
