465 53977
0 1 2761
0 2 6285
0 3 9945
0 4 8921
0 6 2868
0 8 8121
0 10 8442
0 11 2468
0 12 891
0 13 7227
0 14 3068
0 15 1188
0 16 586
0 18 8522
0 19 7609
0 20 4491
0 22 3474
0 23 3999
0 25 2759
0 28 9124
0 31 8280
0 33 6768
0 37 3875
0 38 2203
0 45 8129
0 47 1506
0 48 9503
0 50 6244
0 54 6007
0 55 318
0 56 5044
0 57 5303
0 58 676
0 60 1143
0 61 2160
0 62 470
0 64 2707
0 65 2658
0 66 1564
0 74 2561
0 75 6535
0 76 5824
0 78 4751
0 80 8553
0 81 4491
0 82 5443
0 83 9399
0 84 998
0 85 3946
0 86 6949
0 87 1155
0 88 9062
0 89 8534
0 90 5824
0 91 9129
0 92 7257
0 93 7381
0 95 5932
0 97 4876
0 99 6333
0 100 1723
0 102 9754
0 103 7485
0 107 4539
0 110 2531
0 111 1122
0 112 7225
0 114 9588
0 117 6231
0 121 9652
0 122 9663
0 127 5914
0 128 6594
0 129 1020
0 131 5680
0 136 3256
0 138 4389
0 142 66
0 145 1293
0 147 6776
0 148 4596
0 150 2763
0 151 8279
0 152 4146
0 154 949
0 155 3611
0 156 4228
0 159 4162
0 161 7338
0 162 3624
0 163 9027
0 169 3784
0 172 3430
0 175 7002
0 176 4434
0 177 6971
0 179 6514
0 184 8025
0 186 5267
0 187 7076
0 189 6172
0 191 2736
0 192 3404
0 194 5878
0 197 9021
0 199 5608
0 200 4954
0 203 709
0 205 169
0 207 1593
0 208 7656
0 210 8803
0 212 9132
0 213 92
0 214 2282
0 217 3645
0 219 9295
0 220 3089
0 222 6463
0 226 9849
0 228 3290
0 229 7321
0 232 9877
0 233 3740
0 235 5128
0 238 8227
0 240 3822
0 244 5069
0 247 6914
0 248 896
0 250 7192
0 251 8237
0 252 3315
0 253 8799
0 254 6840
0 256 4356
0 257 8891
0 258 8877
0 263 5687
0 265 149
0 266 227
0 267 1868
0 268 442
0 270 1200
0 271 675
0 273 2035
0 275 8566
0 277 9059
0 280 1799
0 281 3711
0 282 252
0 283 7777
0 284 5398
0 285 1658
0 286 9968
0 288 8773
0 290 9826
0 293 8107
0 297 2504
0 298 6405
0 299 4399
0 300 3132
0 303 1716
0 304 1869
0 305 9189
0 306 9003
0 307 7013
0 308 8135
0 310 5513
0 312 520
0 314 4512
0 315 7030
0 316 787
0 319 9468
0 320 2952
0 323 226
0 325 3819
0 326 2056
0 328 3659
0 332 6116
0 333 1844
0 336 9786
0 337 248
0 338 3326
0 340 6807
0 342 3157
0 343 2014
0 344 2363
0 345 8675
0 348 6155
0 349 3758
0 350 7963
0 351 1418
0 353 2621
0 357 7097
0 358 6986
0 360 652
0 361 5960
0 362 4286
0 363 6484
0 366 4348
0 367 4690
0 369 6315
0 370 3869
0 377 6676
0 378 1579
0 380 6318
0 385 5352
0 387 5767
0 388 1125
0 391 5130
0 394 2807
0 395 7167
0 398 6569
0 400 6564
0 401 775
0 402 8287
0 404 4209
0 407 2230
0 408 6253
0 414 587
0 415 2382
0 418 8055
0 420 2919
0 421 5777
0 422 1726
0 423 5030
0 424 5746
0 428 2696
0 431 1889
0 436 1309
0 437 2157
0 438 380
0 439 8570
0 440 9416
0 445 7921
0 448 1340
0 449 8625
0 450 3494
0 453 6218
0 455 4617
0 456 9900
0 457 2362
0 460 7952
0 461 1992
0 463 3035
1 4 9797
1 5 9672
1 8 1669
1 9 6796
1 10 5958
1 11 3863
1 13 8908
1 14 2946
1 15 6592
1 18 9268
1 22 7250
1 24 8858
1 27 9649
1 29 4753
1 32 435
1 33 4375
1 35 8281
1 36 3141
1 38 1355
1 40 2028
1 46 7034
1 47 1898
1 51 7477
1 52 9745
1 53 4545
1 55 2122
1 58 1211
1 59 7028
1 60 5660
1 61 688
1 62 1748
1 70 6804
1 74 5229
1 78 7674
1 79 1918
1 81 3469
1 83 7082
1 88 3377
1 89 8265
1 90 205
1 92 9630
1 93 2409
1 94 4749
1 95 3182
1 96 2198
1 98 368
1 104 7796
1 106 7654
1 109 7233
1 112 889
1 116 5079
1 117 3125
1 118 825
1 123 6338
1 125 3810
1 127 3607
1 130 6990
1 132 9417
1 134 7695
1 137 4758
1 138 9299
1 139 6718
1 142 7231
1 143 1959
1 145 8344
1 146 8808
1 151 1822
1 152 2325
1 153 5285
1 155 2931
1 165 5617
1 166 7666
1 167 8674
1 170 8523
1 172 7132
1 174 2252
1 176 2497
1 177 8823
1 178 7169
1 179 2046
1 180 5024
1 183 8972
1 184 1418
1 185 5202
1 187 466
1 188 9445
1 189 66
1 190 5235
1 191 4833
1 192 62
1 193 7608
1 194 554
1 196 8318
1 197 7194
1 199 2119
1 200 1939
1 202 3666
1 206 8022
1 207 1816
1 208 9768
1 209 6038
1 212 9375
1 215 9681
1 216 9500
1 218 7460
1 219 6269
1 221 8426
1 222 8537
1 223 889
1 225 1006
1 227 8348
1 232 1617
1 233 3301
1 234 6187
1 235 6091
1 236 2321
1 238 3572
1 239 3629
1 240 2404
1 242 8547
1 244 1805
1 246 591
1 247 6314
1 248 6782
1 249 2041
1 252 9412
1 255 8959
1 256 253
1 259 4572
1 263 6839
1 266 2860
1 268 47
1 269 2110
1 270 1728
1 271 3966
1 273 6933
1 274 7053
1 276 137
1 279 4963
1 280 4826
1 281 9262
1 282 9377
1 284 8460
1 286 9862
1 291 934
1 292 958
1 293 3802
1 295 6319
1 296 4332
1 297 1336
1 298 3041
1 299 5109
1 301 2978
1 302 7508
1 304 3110
1 307 8212
1 308 6890
1 310 9091
1 316 683
1 317 201
1 320 8487
1 321 3504
1 328 4903
1 330 2085
1 332 4981
1 333 3762
1 334 489
1 335 661
1 339 5571
1 341 5158
1 345 193
1 346 5578
1 348 4348
1 352 2527
1 354 5795
1 357 3491
1 358 8779
1 360 3923
1 361 8731
1 364 9217
1 365 72
1 366 9799
1 368 6622
1 369 6503
1 371 3948
1 372 1453
1 374 93
1 375 8207
1 377 9345
1 379 8919
1 380 5564
1 382 2772
1 383 9884
1 384 8581
1 385 4604
1 386 5190
1 388 1619
1 389 3152
1 390 7231
1 394 8104
1 395 1396
1 396 6560
1 400 1712
1 403 2445
1 406 3673
1 408 8305
1 410 3264
1 412 3985
1 415 8126
1 417 8606
1 418 8673
1 419 5557
1 420 7704
1 421 2539
1 424 2481
1 426 8774
1 427 8999
1 428 3923
1 429 6289
1 430 5771
1 431 879
1 434 5166
1 435 297
1 436 1673
1 439 292
1 440 6179
1 441 674
1 443 9345
1 446 5981
1 447 2190
1 448 4357
1 449 5920
1 450 6557
1 451 7388
1 452 1110
1 458 1083
1 459 5132
1 460 4822
1 462 3501
1 464 9457
2 4 6897
2 6 6834
2 7 2111
2 9 3129
2 12 8781
2 16 2887
2 18 7602
2 20 4147
2 21 1996
2 22 528
2 26 561
2 27 2818
2 28 759
2 30 3894
2 34 1795
2 38 5876
2 39 9187
2 42 104
2 43 7390
2 44 2262
2 46 1138
2 47 7243
2 51 4361
2 53 4336
2 55 8808
2 56 9675
2 57 1797
2 58 2174
2 62 346
2 63 9076
2 64 1443
2 65 6484
2 66 127
2 67 1504
2 69 3977
2 70 9862
2 71 6502
2 73 8076
2 76 6551
2 83 7134
2 85 6536
2 86 2230
2 87 9607
2 91 7298
2 96 6174
2 97 7752
2 98 5475
2 101 2253
2 107 8488
2 108 6037
2 110 5190
2 111 5803
2 113 5913
2 114 8761
2 115 296
2 116 9633
2 117 7793
2 118 6966
2 119 5982
2 120 6250
2 121 2596
2 122 8910
2 123 7237
2 124 7834
2 129 4367
2 130 295
2 131 4154
2 133 1153
2 136 9224
2 137 505
2 140 8204
2 141 7699
2 142 7011
2 144 2329
2 146 7918
2 147 7405
2 149 8961
2 150 1407
2 152 4228
2 154 718
2 155 7205
2 157 5116
2 162 5545
2 166 5648
2 167 218
2 168 9014
2 170 3054
2 171 7698
2 173 4021
2 177 6927
2 182 1494
2 190 2734
2 192 9461
2 194 9308
2 196 5752
2 199 8150
2 200 1548
2 201 9947
2 202 335
2 207 7936
2 214 3892
2 215 3033
2 216 47
2 218 5544
2 219 5758
2 221 9547
2 222 5083
2 224 7110
2 228 7958
2 233 1487
2 235 9879
2 237 5519
2 239 205
2 242 9506
2 244 958
2 248 2080
2 249 3462
2 251 1653
2 252 3262
2 255 2471
2 257 2515
2 260 1097
2 262 8708
2 264 241
2 265 2607
2 266 7516
2 270 8026
2 271 3571
2 272 8013
2 273 8831
2 274 5257
2 278 5987
2 280 6652
2 282 9199
2 283 3292
2 284 4529
2 285 2934
2 287 100
2 291 8072
2 293 78
2 295 5675
2 301 6489
2 302 9181
2 303 6421
2 305 3774
2 306 3453
2 312 655
2 313 1613
2 314 8493
2 315 9181
2 320 9556
2 321 7321
2 322 2666
2 323 3905
2 326 1049
2 328 4246
2 333 6995
2 336 440
2 337 8838
2 338 2213
2 342 8756
2 343 7497
2 344 5130
2 345 5982
2 346 7364
2 351 855
2 353 9245
2 354 2379
2 356 8006
2 363 1538
2 364 9430
2 365 376
2 368 2075
2 370 3325
2 371 2405
2 377 7609
2 378 3839
2 381 5686
2 382 480
2 383 7341
2 384 130
2 386 2717
2 388 3417
2 396 2281
2 402 633
2 404 7506
2 406 3680
2 407 5457
2 408 4519
2 411 7617
2 414 5825
2 415 261
2 420 9390
2 421 2084
2 422 8067
2 423 3571
2 424 1581
2 429 5639
2 435 8060
2 436 3510
2 437 528
2 438 1781
2 442 2302
2 445 1185
2 446 2168
2 447 5395
2 449 5636
2 450 7868
2 452 3822
2 453 5850
2 455 2983
2 456 7522
2 457 128
2 459 6203
2 462 9461
3 4 5693
3 6 7662
3 8 5831
3 11 1305
3 17 1296
3 18 6612
3 21 4588
3 22 9079
3 23 4028
3 30 5740
3 32 2692
3 33 234
3 34 1894
3 35 6604
3 36 5070
3 37 6886
3 39 5220
3 40 2952
3 43 8285
3 44 5046
3 47 504
3 50 3252
3 52 7366
3 55 7167
3 57 9585
3 61 7732
3 62 6904
3 65 6877
3 66 4003
3 67 5351
3 68 6272
3 69 1694
3 70 6479
3 74 2402
3 77 692
3 79 8290
3 80 1257
3 84 707
3 85 6371
3 86 7544
3 88 2864
3 89 7620
3 91 5551
3 94 2043
3 95 9652
3 96 1403
3 97 7450
3 99 308
3 100 2746
3 101 4500
3 102 7425
3 104 3546
3 106 6530
3 108 4159
3 109 1836
3 110 8586
3 114 7950
3 115 4724
3 118 3406
3 119 847
3 121 3866
3 122 7627
3 123 897
3 124 6472
3 126 143
3 127 3673
3 128 3275
3 130 9290
3 132 893
3 133 4408
3 134 1122
3 136 7522
3 137 9915
3 138 1918
3 139 9718
3 140 1354
3 147 4937
3 148 1952
3 150 9353
3 151 3305
3 152 1062
3 153 7966
3 154 6675
3 155 2488
3 156 4617
3 159 907
3 162 6313
3 164 99
3 167 1880
3 169 629
3 170 2983
3 171 4819
3 173 5479
3 175 2957
3 178 2977
3 179 632
3 182 8990
3 184 1878
3 187 664
3 189 7693
3 190 6296
3 191 5003
3 193 8260
3 194 2786
3 196 6699
3 197 4238
3 199 9570
3 200 5484
3 202 8967
3 203 3611
3 204 7775
3 206 8894
3 207 7783
3 208 7441
3 209 4554
3 210 8560
3 212 6077
3 214 7986
3 220 1162
3 224 1621
